Year_of_study,Field_of_study,Ever_used_platform,Time_investing,Main_platform_type,Confidence_in_terms,Return_in_30_years,Purchasing_power_q,Single_stock_risk_q,Risk_Reward,Inflation_time_value_q,Diversification_purpose_q,Inflation_rate_q,Knowledge_improved,Confidence_interpreting_data,Features_used_most,Regretted_misinterpretation,Frequency_based_on_app_data,Greater_influence,Apps_oversimplify,Likely_to_use_new_features,Data_viz_helps
1st year,Engineering/ Science,Yes,1-2 years,Robo-advisor,Confident,Will be equal,It increases,More risky than investing in a diversified fund,Not sure,£110 in one year,To reduce the overall risk of the portfolio,Exactly 10% interest,Significantly,Confident,Portfolio analytics,No,Rarely,Personal decisions,Strongly agree,Unlikely,Neutral
2nd year,Business / Economics,Yes,6-12 months,Trading app,Confident,Compound interest/growth,It decreases,As risky,Risk and reward are not related,£110 in one year,Not sure,Exactly 10% interest,Moderately,Not confident,Portfolio analytics,No,Always,Personal decisions,Disagree,Neutral,Disagree
1st year,Other,No,N/A - Not an investor,N/A - Not an investor,Confident,Compound interest/growth,It stays the same,As risky,Higher risk generally leads to higher potential reward,£100 today,To minimize fees and expenses,Exactly 10% interest,N/A - Not an investor,Not confident,Stock performance charts,No,Rarely,Personal decisions,Agree,Very unlikely,Strongly disagree
2nd year,Engineering/ Science,No,N/A - Not an investor,N/A - Not an investor,Somewhat confident,Capital (Your Investment),It stays the same,More risky than investing in a diversified fund,Risk and reward are not related,£110 in one year,To reduce the overall risk of the portfolio,Exactly 10% interest,N/A - Not an investor,Somewhat confident,AI or data insights,Not sure,Rarely,Social media trends,Strongly disagree,Unlikely,Neutral
1st year,Business / Economics,Yes,6-12 months,Trading app,Somewhat confident,Compound interest/growth,It increases,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,£110 in one year,To reduce the overall risk of the portfolio,Less than 10% interest,Significantly,Very confident,Stock performance charts,No,Sometimes,Data and analytics,Agree,Very likely,Agree
3rd year,Business / Economics,Yes,Over 2 years,Trading app,Very confident,Compound interest/growth,It decreases,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,£110 in one year,To minimize fees and expenses,Exactly 10% interest,Significantly,Somewhat confident,Market news,Yes,Sometimes,Social media trends,Neutral,Unlikely,Neutral
2nd year,Humanities / Arts,No,N/A - Not an investor,N/A - Not an investor,Not confident,Not Sure,Not sure,Not sure,Higher risk generally leads to higher potential reward,Not sure,Not sure,Not sure,N/A - Not an investor,Not confident,Portfolio analytics,No,Sometimes,Advice from others,Disagree,Unlikely,Agree
Postgraduate,Business / Economics,Yes,1-2 years,Trading app,Confident,Will be equal,It decreases,As risky,Higher risk generally leads to lower potential reward,£110 in one year,To guarantee higher overall returns,Exactly 10% interest,Significantly,Not confident,Stock performance charts,No,Never,Personal decisions,Agree,Very likely,Neutral
3rd year,Engineering/ Science,No,N/A - Not an investor,N/A - Not an investor,Somewhat confident,Not Sure,It decreases,More risky than investing in a diversified fund,Higher risk generally leads to lower potential reward,Not sure,Not sure,Exactly 10% interest,N/A - Not an investor,Confident,Portfolio analytics,No,Sometimes,Personal decisions,Strongly disagree,Very unlikely,Agree
1st year,Humanities / Arts,Yes,Less than 6 months,Robo-advisor,Somewhat confident,Will be equal,It stays the same,More risky than investing in a diversified fund,Not sure,£110 in one year,To minimize fees and expenses,Not sure,Slightly,Somewhat confident,Portfolio analytics,No,Rarely,Social media trends,Strongly disagree,Unlikely,Agree
1st year,Other,Yes,1-2 years,Trading app,Somewhat confident,Not Sure,It stays the same,Not sure,Higher risk generally leads to lower potential reward,£100 today,To minimize fees and expenses,Exactly 10% interest,Moderately,Not confident,Stock performance charts,No,Always,Data and analytics,Agree,Very unlikely,Agree
3rd year,Engineering/ Science,Yes,6-12 months,Trading app,Very confident,Not Sure,It decreases,More risky than investing in a diversified fund,Not sure,£110 in one year,To reduce the overall risk of the portfolio,Exactly 10% interest,Slightly,Very confident,AI or data insights,Yes,Sometimes,Personal decisions,Strongly disagree,Likely,Agree
1st year,Humanities / Arts,No,N/A - Not an investor,N/A - Not an investor,Confident,Compound interest/growth,It decreases,Less risky,Risk and reward are not related,Not sure,To reduce the overall risk of the portfolio,Less than 10% interest,N/A - Not an investor,Confident,Portfolio analytics,Not sure,Rarely,Personal decisions,Strongly agree,Neutral,Neutral
1st year,Business / Economics,Yes,1-2 years,Robo-advisor,Not confident,Capital (Your Investment),It decreases,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,Not sure,To reduce the overall risk of the portfolio,Exactly 0% interest,No,Not confident,Market news,No,Rarely,Social media trends,Agree,Neutral,Neutral
3rd year,Engineering/ Science,No,N/A - Not an investor,N/A - Not an investor,Very confident,Not Sure,It decreases,Less risky,Higher risk generally leads to higher potential reward,£110 in one year,To reduce the overall risk of the portfolio,Less than 10% interest,N/A - Not an investor,Very confident,Portfolio analytics,No,Often,Personal decisions,Strongly agree,Neutral,Agree
3rd year,Business / Economics,Yes,1-2 years,Trading app,Very confident,Compound interest/growth,It decreases,Less risky,Higher risk generally leads to lower potential reward,£110 in one year,To reduce the overall risk of the portfolio,Not sure,Moderately,Confident,Market news,No,Always,Data and analytics,Strongly agree,Unlikely,Strongly agree
2nd year,Business / Economics,Yes,Over 2 years,Trading app,Very confident,Compound interest/growth,It increases,More risky than investing in a diversified fund,Risk and reward are not related,£110 in one year,To reduce the overall risk of the portfolio,Exactly 10% interest,Significantly,Not confident,Market news,No,Sometimes,Personal decisions,Neutral,Unlikely,Strongly agree
Postgraduate,Engineering/ Science,Yes,1-2 years,Trading app,Somewhat confident,Will be equal,It stays the same,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,£110 in one year,To reduce the overall risk of the portfolio,Exactly 10% interest,Moderately,Somewhat confident,Stock performance charts,No,Sometimes,Advice from others,Strongly agree,Neutral,Neutral
1st year,Business / Economics,No,N/A - Not an investor,N/A - Not an investor,Very confident,Compound interest/growth,It decreases,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,£110 in one year,Not sure,Exactly 10% interest,N/A - Not an investor,Confident,Stock performance charts,No,Often,Data and analytics,Strongly disagree,Likely,Strongly agree
2nd year,Business / Economics,Yes,Less than 6 months,Trading app,Very confident,Not Sure,It decreases,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,£110 in one year,To reduce the overall risk of the portfolio,Exactly 0% interest,Slightly,Very confident,Stock performance charts,No,Often,Data and analytics,Strongly disagree,Likely,Agree
3rd year,Humanities / Arts,No,N/A - Not an investor,N/A - Not an investor,Not confident,Capital (Your Investment),It stays the same,More risky than investing in a diversified fund,Higher risk generally leads to lower potential reward,Not sure,To minimize fees and expenses,Not sure,N/A - Not an investor,Somewhat confident,Market news,No,Rarely,Personal decisions,Strongly agree,Likely,Neutral
1st year,Humanities / Arts,Yes,Less than 6 months,Robo-advisor,Somewhat confident,Compound interest/growth,It decreases,Less risky,Higher risk generally leads to lower potential reward,Not sure,To reduce the overall risk of the portfolio,Exactly 0% interest,Significantly,Confident,Portfolio analytics,No,Sometimes,Advice from others,Strongly agree,Likely,Disagree
3rd year,Engineering/ Science,No,N/A - Not an investor,N/A - Not an investor,Not confident,Not Sure,It stays the same,Less risky,Higher risk generally leads to higher potential reward,No difference,To minimize fees and expenses,Exactly 0% interest,N/A - Not an investor,Somewhat confident,Portfolio analytics,No,Never,Personal decisions,Strongly disagree,Very unlikely,Neutral
3rd year,Humanities / Arts,Yes,6-12 months,Robo-advisor,Not confident,Compound interest/growth,Not sure,As risky,Higher risk generally leads to higher potential reward,£110 in one year,To guarantee higher overall returns,Not sure,Slightly,Somewhat confident,Other,No,Sometimes,Advice from others,Strongly agree,Very unlikely,Agree
3rd year,Other,Yes,Over 2 years,Other,Somewhat confident,Will be equal,It increases,Not sure,Not sure,No difference,Not sure,Exactly 10% interest,Significantly,Not confident,Stock performance charts,No,Rarely,Data and analytics,Strongly disagree,Neutral,Agree
2nd year,Engineering/ Science,No,N/A - Not an investor,N/A - Not an investor,Somewhat confident,Capital (Your Investment),It decreases,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,No difference,Not sure,Exactly 0% interest,N/A - Not an investor,Confident,Market news,No,Rarely,Personal decisions,Strongly agree,Neutral,Agree
Postgraduate,Humanities / Arts,No,N/A - Not an investor,N/A - Not an investor,Confident,Not Sure,It increases,Less risky,Higher risk generally leads to higher potential reward,£110 in one year,To minimize fees and expenses,Exactly 0% interest,N/A - Not an investor,Very confident,AI or data insights,No,Never,Social media trends,Neutral,Very likely,Disagree
2nd year,Business / Economics,No,N/A - Not an investor,N/A - Not an investor,Very confident,Compound interest/growth,It decreases,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,£110 in one year,To reduce the overall risk of the portfolio,Not sure,N/A - Not an investor,Confident,Market news,No,Always,Data and analytics,Strongly disagree,Very likely,Strongly agree
1st year,Humanities / Arts,Yes,6-12 months,Trading app,Confident,Compound interest/growth,It stays the same,As risky,Not sure,No difference,To guarantee higher overall returns,Exactly 10% interest,Slightly,Confident,Portfolio analytics,No,Rarely,Social media trends,Agree,Likely,Agree
1st year,Other,Yes,Less than 6 months,Trading app,Confident,Not Sure,It stays the same,Not sure,Risk and reward are not related,£110 in one year,To guarantee higher overall returns,Exactly 10% interest,No,Somewhat confident,Portfolio analytics,No,Sometimes,Advice from others,Strongly agree,Neutral,Agree
3rd year,Business / Economics,Yes,1-2 years,Robo-advisor,Somewhat confident,Capital (Your Investment),It increases,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,£100 today,To reduce the overall risk of the portfolio,Exactly 0% interest,Moderately,Very confident,Market news,Yes,Always,Data and analytics,Agree,Unlikely,Agree
Postgraduate,Engineering/ Science,Yes,6-12 months,Trading app,Confident,Will be equal,It decreases,More risky than investing in a diversified fund,Higher risk generally leads to lower potential reward,Not sure,To reduce the overall risk of the portfolio,Exactly 10% interest,Slightly,Confident,Market news,No,Rarely,Personal decisions,Disagree,Very likely,Agree
2nd year,Engineering/ Science,Yes,Over 2 years,Trading app,Confident,Compound interest/growth,It decreases,As risky,Higher risk generally leads to higher potential reward,£110 in one year,To reduce the overall risk of the portfolio,Exactly 10% interest,Significantly,Very confident,Portfolio analytics,No,Often,Data and analytics,Strongly disagree,Very likely,Strongly agree
Postgraduate,Humanities / Arts,Yes,Over 2 years,Robo-advisor,Somewhat confident,Not Sure,It increases,More risky than investing in a diversified fund,Risk and reward are not related,£100 today,To reduce the overall risk of the portfolio,Exactly 10% interest,Significantly,Very confident,Stock performance charts,No,Often,Data and analytics,Disagree,Unlikely,Agree
